epoch_start,SV1,SV2,GDOP,XDOP,YDOP,pos est X,pos est Y,pos est Z,angle,el
2021-02-01 17:20:00,G05,G02,17.00709132480393,13.851350088088278,9.868194164457751,-6650.505749889014,3442.7212966927136,11.081042653509485,51.8331930694453,37.091116411598584
2021-02-01 17:35:00,G05,G02,15.695597223619357,11.110873704284533,11.08603886577736,-6640.837694816563,3433.312706535814,11.081042653509485,47.94317001640975,42.338842709673216
2021-02-01 17:50:00,G05,G02,14.349367540205158,7.996667405195642,11.914598575469299,-6612.666577896644,3391.4943156181757,11.081042653509485,44.23318435385151,47.69369143208835
2021-02-01 18:05:00,G05,G02,13.13393282796289,4.62920342039806,12.291080799588627,-6623.071637758526,3404.6172451811644,11.081042653509485,41.12881212479038,53.15403383115037
2021-02-01 18:20:00,G05,G02,12.26934452073987,1.3766514935174383,12.191868012491181,-6629.340269263483,3413.725614491655,11.081042653509485,39.10733832937366,58.71305100070828
2021-02-01 18:35:00,G05,G02,11.955505019121686,2.7332659963303856,11.638872679755025,-6629.023789769262,3426.715246660492,11.081042653509485,38.58647851169349,64.35616030142987
2021-02-01 18:50:00,G05,G02,12.267852556039001,6.0163182114245295,10.691310561179774,-6631.424076268583,3419.581207454008,11.081042653509485,39.755326552712475,69.81294654248376
2021-02-01 19:05:00,G05,G02,13.121407807910934,9.12633995570401,9.427685923620206,-6648.6263576343335,3405.203794925908,11.081042653509485,42.47673347090247,68.29470906427188
2021-02-01 19:20:00,G05,G02,14.34624547814997,11.957179532756573,7.927207386007119,-6628.75301932815,3423.014126822961,11.081042653509485,46.35923401811121,66.45200437419675
2021-02-01 19:35:00,G05,G02,15.782991996387484,14.489628278540064,6.257276460870456,-6600.919859233956,3436.1154191006704,11.081042653509485,50.91477310001175,64.42629003565166
2021-02-01 19:50:00,G05,G02,17.325553600645254,16.739280437507745,4.468925822085465,-6644.43118408766,3418.268977205212,11.081042653509485,55.67312070708864,62.15943248295373
2021-02-01 20:05:00,G05,G02,18.922521242157192,18.742759593608532,2.6020709014332057,-6643.173100508156,3421.4246730145,11.081042653509485,60.225919586813866,59.54420042979302
2021-02-01 20:20:00,G05,G02,20.565951867409694,20.550609803137842,0.7942373271177124,-6635.3022438200305,3420.0739647278165,11.081042653509485,64.23410963643293,56.431845112883195
2021-02-01 20:35:00,G05,G02,22.280456399763562,22.22271577652717,1.6030099492690022,-6644.335402547814,3423.8270589831177,11.081042653509485,67.42768685973888,52.688830094904745
2021-02-01 20:50:00,G05,G02,24.114265786284523,23.823521987503465,3.733311468724688,-6642.451764003066,3425.318129127302,11.081042653509485,69.60864775326607,48.28789929928263
2021-02-01 15:50:00,G06,G02,41.98362626374788,7.13189875040136,41.373432229730284,-6625.108409753538,3396.984475423688,11.081042653509485,39.33335078533269,36.878627176005836
2021-02-01 16:05:00,G06,G02,40.29945660472871,2.822903478862291,40.20046540259751,-6624.080363775582,3358.604298178065,11.081042653509485,40.226719515906034,41.18701082890765
2021-02-01 16:20:00,G06,G02,38.998020300116536,1.663952930093826,38.96250566858777,-6625.09472301634,3556.927268506848,11.081042653509485,41.15146269456776,45.509228586537446
2021-02-01 16:35:00,G06,G02,38.15208271855091,4.9170661623956775,37.83389850541145,-6617.91338253268,3513.3235801437236,11.081042653509485,42.092248937961074,49.76344090843496
2021-02-01 16:50:00,G06,G02,37.83776599547439,8.108362838782224,36.9587741626117,-6615.5466167267405,3481.611440453917,11.081042653509485,43.028626725500914,53.79826470101837
2021-02-01 17:05:00,G06,G02,38.158916807322655,11.20162979088233,36.477752424405054,-6610.899963037227,3483.9485462960142,11.081042653509485,43.93500317654798,57.37988114901974
2021-02-01 17:20:00,G06,G02,39.27630371096494,14.362853271383493,36.55593630452743,-6613.797547730405,3468.632524615365,11.081042653509485,44.78114644973987,60.260102050372694
2021-02-01 17:35:00,G06,G02,41.45610510029793,17.833897252381643,37.42406657324191,-6622.030008357245,3440.735655001104,11.081042653509485,45.53336138681223,62.34529664678785
2021-02-01 17:50:00,G06,G02,45.16594690513602,21.98334550353162,39.45497789012081,-6644.216148961249,3397.570354262398,11.081042653509485,46.1564246763215,63.7685461271454
2021-02-01 18:05:00,G06,G02,51.29297566002775,27.44536091156351,43.3326841598143,-6596.587003059086,3473.7277853816804,11.081042653509485,46.61624084952777,64.7574288586266
2021-02-01 18:20:00,G06,G02,61.72236307267449,35.4924484948378,50.49689300458333,-6586.39223895488,3482.8072699380086,11.081042653509485,46.8830052730976,65.5034262099907
2021-02-01 18:35:00,G06,G02,81.2426163094173,49.26284109588614,64.60290389727594,-6614.920312188946,3440.445752973763,11.081042653509485,46.93447127649753,66.1321613554497
2021-02-01 18:50:00,G06,G02,126.52580868671222,79.54034197970917,98.39773504292371,-6588.1251689932815,3470.133113906145,11.081042653509485,46.75877920338,66.47201566140203
2021-02-01 19:05:00,G06,G02,321.56799591064856,206.16153556159477,246.78613666265002,-6368.969403980367,3735.485835963559,11.081042653509485,46.35628173681401,59.81221846949576
2021-02-01 19:20:00,G06,G02,477.9713482230736,307.05034690625837,366.3013707139642,-7106.405418162113,2854.5846354902524,11.081042653509485,45.73993503405734,52.8790679191342
2021-02-01 19:35:00,G06,G02,136.62715337405575,86.09757436346152,106.08575176632331,-6599.833178141394,3457.7008063377757,11.081042653509485,44.934106091387754,45.89708287793489
2021-02-01 09:45:00,G08,G01,19.930666168491474,19.92386330050605,0.5206967472519362,-6630.353902416196,3422.89998051626,11.081042653509485,75.60619994826335,44.80215187866777
