epoch_start,SV1,SV2,GDOP,XDOP,YDOP,pos est X,pos est Y,pos est Z,angle,el,sta1 sat1 AZ,sta1 sat1 EL,sta2 sat1 AZ,sta2 sat1 EL,sta1 sat2 AZ,sta1 sat2 EL,sta2 sat2 AZ,sta2 sat2 EL,G[0][0],G[0][1],G[1][0],G[1][1],G[2][0],G[2][1]
2021-02-01 19:05:00,G06,G02,321.56799591064856,206.16153556159477,246.78613666265002,-6368.969403980367,3735.485835963559,11.081042653509485,46.35628173681401,59.81221846949576,135.26727126456726,37.149231320190324,135.33312950663674,37.2241282899248,163.92545923829292,82.4752056188012,164.45602969020118,82.53578701633478,-0.5510115973741844,0.45725362844431405,-0.5379547942558952,0.44997052031973467,-0.5247951136178683,0.4410081444320043
2021-02-01 19:20:00,G06,G02,477.9713482230736,307.05034690625837,366.3013707139642,-7106.405418162113,2854.5846354902524,11.081042653509485,45.73993503405734,52.8790679191342,139.6678689232896,30.836963231027998,139.73419099733908,30.907741221827568,164.2798462241625,74.92117260724041,164.56348936289106,74.9793372835917,-0.5116045160994542,0.4304330296791609,-0.49845269473360865,0.41830652776206045,-0.4854033874027134,0.4047154965391939
2021-02-01 15:10:00,G06,G03,337.73210718997507,47.70429866719348,334.34604247045013,-6661.116489441697,3635.420318124832,11.081042653509485,71.686390015522,41.72932440808647,-59.37443649693941,42.54183743130776,-59.336744008653255,42.46154805728321,43.99447770729688,40.91681138486518,43.95678151162108,40.93943379157262,1.1848465904057,0.16687753755351542,1.1723749991785228,0.16742214791356957,1.1590467545777319,0.16741911065033138
2021-02-01 15:25:00,G06,G03,588.6846438969532,85.55702185574346,582.4342074185362,-6713.779389256075,3985.3746668258923,11.081042653509485,69.32622926837723,40.62915034869535,-51.80248950796946,46.714081078544346,-51.77855926042606,46.63336419713111,44.27584259061833,34.54421961884634,44.25224081646822,34.56638224170528,1.1448944835634416,0.16694059786684984,1.129926664280088,0.16605900727929895,1.114180243838387,0.16485384534471276
2021-02-01 15:40:00,G06,G03,728.7586144228923,107.9278657394779,720.7223417464558,-7087.8935613978265,6466.042767044528,11.081042653509485,67.79618854951293,39.64637065361417,-43.66193623379486,50.89491013853526,-43.656285946730826,50.81165010602142,45.424412133861104,28.39783116869308,45.41252010086355,28.419229513595603,1.0977482762500106,0.163418881751908,1.0805380191406901,0.16181089341478178,1.0626475345207962,0.1601246220150992
2021-02-01 15:55:00,G06,G03,490.62678198808504,74.24143850884924,484.97716236140514,-6669.215343231368,3693.3760104288167,11.081042653509485,67.18664517240967,38.77566363882191,-34.72653343577725,55.045880791988274,-34.74510207079416,54.97150649342923,47.23772450993642,22.505446485655554,47.23577639843508,22.530484670920476,1.0440479407534873,0.1584247312217808,1.0249138459195168,0.15682670981258834,1.005219342479808,0.1553930441147272
2021-02-01 14:20:00,G06,G04,382.0433260527452,127.87627933765559,360.0066112784626,-6594.324578824231,3525.311091330432,11.081042653509485,123.25384750284054,26.227675406417752,-81.91420812711456,28.646085689461433,-81.85243114368328,28.574452147074204,120.57797735950463,23.809265123374075,120.62355260047059,23.88361030132572,1.6694641745370369,-0.5909412358889188,1.6641622604553081,-0.5913410771306055,1.6561775901882652,-0.5901317517489127
2021-02-01 14:35:00,G06,G04,1642.4113308191497,551.8419319193112,1546.927749372508,-9644.466468325594,-5029.60846722525,11.081042653509485,118.33139531264739,30.474059744232,-75.51140778528244,32.82912405544015,-75.45407799104055,32.75273873514879,114.41668605173014,28.11899543302385,114.4565500122454,28.19383346054723,1.645613813648176,-0.587269676484213,1.6322947531226901,-0.5825933352328643,1.616366058491749,-0.5760844751039434
2021-02-01 17:35:00,G07,G05,682.6546205778395,105.314807997457,674.4821140791895,-6141.445229479375,6550.59468083304,11.081042653509485,130.4131480365869,22.437145462473616,109.29707729122991,16.493376749018253,109.33449890121297,16.565094469513255,-92.52540814600364,28.380914175928982,-92.4540733143389,28.31585349972541,-1.7911222672678018,0.27856596147576895,-1.7889040272123986,0.2794422494564545,-1.7838769753013137,0.2795211524466204
2021-02-01 17:50:00,G07,G05,1685.583257758312,261.04976159166046,1665.245910010909,-5304.760677965802,11889.117623149377,11.081042653509485,126.28184892301209,26.460726956526102,103.41413346795976,20.052786516308487,103.44643890807554,20.12434995817726,-86.25727424957448,32.86866739674372,-86.18816066171546,32.79887027551887,-1.775971183016539,0.27869458726558327,-1.765307135052681,0.2769319712784918,-1.751822899618375,0.2741323390853827
2021-02-01 11:20:00,G08,G07,898.3127157809311,540.2746063132967,717.6831369808853,-7005.66238564825,3919.5320562126526,11.081042653509485,90.60655440528052,44.501130113319604,47.174872078671896,56.189892623156574,47.08914402465418,56.218139031955054,-123.09060470427734,32.812367603482635,-122.99050839860448,32.774121970843474,-1.0488419645675457,-0.7902017276777769,-1.081605408521238,-0.8147767453785888,-1.1125705177214917,-0.8364277096426893
2021-02-01 17:50:00,G09,G05,2367.330082453087,723.2501983929922,2254.1430455523086,-9375.531569343691,11978.649128489946,11.081042653509485,97.6232906922585,35.56325131873075,49.03698000518799,38.25218501061274,49.00772801274606,38.27569779325965,-86.25727424957448,32.874317626848764,-86.18816066171546,32.79887027551887,-1.4513570603540549,-0.4656098363087608,-1.4420977297297006,-0.4630421899846017,-1.4316078723510022,-0.4590586225018255
